Name,Points,Season
Eibar,42,2019-2020
Betis,41,2019-2020
Alavés,39,2019-2020
Celta Vigo,37,2019-2020
Leganés,36,2019-2020
Maiorca,33,2019-2020
Espanyol,25,2019-2020
Atlético Madrid,86,2020-2021
Real Madrid,84,2020-2021
Barcellona,79,2020-2021
Siviglia,77,2020-2021
Real Sociedad,62,2020-2021
Betis,61,2020-2021
Villarreal,58,2020-2021
Celta Vigo,53,2020-2021
Granada,46,2020-2021
Athletic Bilbao,46,2020-2021
Osasuna,44,2020-2021
Cadice,44,2020-2021
Valencia,43,2020-2021
Levante,41,2020-2021
Getafe,38,2020-2021
Alavés,38,2020-2021
Elche,36,2020-2021
Huesca,34,2020-2021
Real Valladolid,31,2020-2021
Eibar,30,2020-2021
Real Madrid,86,2021-2022
Barcellona,73,2021-2022
Atlético Madrid,71,2021-2022
Siviglia,70,2021-2022
Betis,65,2021-2022
Real Sociedad,62,2021-2022
Villarreal,59,2021-2022
Athletic Bilbao,55,2021-2022
Valencia,48,2021-2022
Osasuna,47,2021-2022
Celta Vigo,46,2021-2022
Rayo Vallecano,42,2021-2022
Elche,42,2021-2022
Espanyol,42,2021-2022
Getafe,39,2021-2022
Maiorca,39,2021-2022
Cadice,39,2021-2022
Granada,38,2021-2022
Levante,35,2021-2022
Alavés,31,2021-2022
Barcellona,88,2022-2023
Real Madrid,78,2022-2023
Atlético Madrid,77,2022-2023
Real Sociedad,71,2022-2023
Villarreal,64,2022-2023
Betis,60,2022-2023
Osasuna,53,2022-2023
Athletic Bilbao,51,2022-2023
Maiorca,50,2022-2023
Girona,49,2022-2023
Rayo Vallecano,49,2022-2023
Siviglia,49,2022-2023
Celta Vigo,43,2022-2023
Cadice,42,2022-2023
Getafe,42,2022-2023
Valencia,42,2022-2023
Almería,41,2022-2023
Real Valladolid,40,2022-2023
Espanyol,37,2022-2023
Elche,25,2022-2023
Real Madrid,95,2023-2024
Barcellona,85,2023-2024
Girona,81,2023-2024
Atlético Madrid,76,2023-2024
Athletic Bilbao,68,2023-2024
Real Sociedad,60,2023-2024
Betis,57,2023-2024
Villarreal,53,2023-2024
Valencia,49,2023-2024
Alavés,46,2023-2024
Osasuna,45,2023-2024
Getafe,43,2023-2024
Celta Vigo,41,2023-2024
Siviglia,41,2023-2024
Maiorca,40,2023-2024
Las Palmas,40,2023-2024
Rayo Vallecano,38,2023-2024
Cadice,33,2023-2024
Almería,21,2023-2024
Granada,21,2023-2024
